ID,Description
888635633350004738,"@tatianaschild @SkyNewsAust An veritable “Desert Storm” of Truth Bombs 💣 Despite what those who seek to discredit him with baseless and banal nonsense would have ppl believe @P_McCulloughMD is eminently qualified and meticulously researched. 
Bravo @joerogan -the most important 3hrs of the scamdemic so far"
4509862400,@overit_miss Nothing. If not for liberals and fake news I would not know there was a ScamDemic? https://t.co/Vcr6KcY7Q1
1124164582065336321,"@dtite67 @clairlemon @szabosolicitors Uh-huh, the scamdemic?  You sound just like a Herman Cain who hasn't paid the consequences yet of being stupid."
1543799401,@Corleone_Roller That’s exactly how the commie pricks want you.  Don’t be a #Doomer or a #FluFlake and get caught up in their #FearPorn driven #SCAMdemic #LiveYourLife it’s better than their BS.
1422183968057794568,@LegendaryEnergy No one has been more wrong about the scamdemic than @scottadamssays
331278040,"If health of people were important to government, they’d be handing out vitamin D, C, zinc &amp; ivermectin like candy. Fortunately the rabble appears to becoming wise to the scamdemic. https://t.co/9y7psB0zdd"
1468527831416127491,@JohnRuddick2 SCAMDEMIC
2937355699,@KendrickPerkins 😂😭🤣 NOT U TOO!!🤣 #DoYourHomework #Scamdemic shows who don’t #Go2College 💯‼️
1343949066489614338,👇Stop Complying https://t.co/RtVhavNWoF
738339289981812737,"@Corleone_Roller Stop complying then watch the tyrants reveal themselves 
You don’t have to do anything 
They do 
Just stop and watch"
1236410255145402370,@EssexPR @Charlot62189447 Stop complying.
945897666902396928,"Grow a brain, stop complying with this bullshit https://t.co/pIv0nMsmye"
1365678726,"Stop complying, and watch how quickly this crap disappears https://t.co/ywwCfuS75t"
306255826,"@bilohash @ColinDMello its a bit late but welcome to our group. Im vaxxed by the way too. and Ive been warning about this for over a year. the govt knows its losing the narrative. we have to keep fighting, stop complying and unfollow MSM and cancel cable. strip them of their communication power"
1241209798051237888,@CanteringClark Stop fing complying
1370609587930361856,@KevinKileyCA It will end when people stop complying.
544690151,"@rtroth2946 @MarcPDumont Wrong. Let's stop blaming the 12% not vaxed. And who's not complying? Masks &amp; other restrictions r reality we all live with. Its a virus, it's going to spread. And it spreads equally in vaxed, ur just more protected against its symptoms. U know that. There is no cure."
764745673,"@KHWallar @patrickdoucette I think its gonna get way worst before it gets better,but we still need to hold the line and to Stop Complying !!"
319458284,"Thanks, but no thanks Mr. AG:  Greene County health leaders urge masks in schools after Missouri's attorney general orders to stop mandates https://t.co/vYew5mkvTq via @springfieldNL"
36828051,"@melissabcoad @ASlavitt I'm loving all the likes on your idiotic replies. Yes, I said it. Nasty bacteria. When did you last TEACH? Bet a dollar it wasn't during C19. Just sayin'. Kids vomit in those masks. Did you Teach - yes/no is enough...."
765316349572763648,"@B52Malmet Great. 
The people on buses are being allowed to be sloppy with their masks (the other day there was a guy 2 seats back on a shouty angry phone call with his mask down, a crazy bum got on coughing with no mask, and some guy say across from me with his mask below his nose)... 
1/2"
2816078672,@Lucy71853038 @realkodybrown caught with no masks either
1358930583146139649,"@NewYorkGOP @smhc8 Name one state or country that did masks and then had cases go down and stay down… answer 0. 

The only statistically significant peer reviewed study on masks (post Covid) reveals that masks make no difference."
1447199772926889987,"@KT_So_It_Goes I always wear my mask when I get food deliveries and have anyone from outside the house visit here in Hong Kong. We all, almost always wear masks everywhere outside of eating/drinking 

But the mandates here are almost never enforced, no need to"
3146704649,"@_pallavighosh Our poor PM.
No money left for matching masks https://t.co/zVa2ZTsDqQ"
1031786759225593856,"Now that Covid cases have been &lt;1/mil/day for weeks, how are Japanese doing w/ NPIs (masks, ventilation, etc.)?

Their influenza data (from NIID) suggest pretty well.

Their state of emergency for Delta ended in Sept &amp; little/no restrictions since. https://t.co/6I8PjVWEIJ"
1511614128,@rachbarnhart I am quitting my gym membership tomorrow.  No masks.
1318279781746724864,@robfoot Prediction 4..Leafs win tonight…..at least two leafs fans will get laryngitis from all the screaming 😱 oh and no masks….life outside Twitter continues….!!!
1384546719199678468,Billions Of People Are Affected By This &amp; They Don't Realize It | Dr. Ro... https://t.co/RLbTsp3heb via @YouTube. #COVID19 #coronavirus #covidhoax #COVIDIOTS #globalists #VaccineSideEffects #vaccine
762366474,#CovidHoax #CovidScam #Covid #Nuremberg2 #NurembergCode #NurembergTrialsForCovid https://t.co/zdQcsXi0rk
33776463,"C'est comme si on vit sur une autre planete entourés d'abrutis , de crac pots et de lobotomisés ! 
Moi je vous jure si Legault disait qu'il faut manger un pickle avec creme fouettée dessus en prenant le vaccin; y'aurait une pénurie de pickles ! #CovidHoax https://t.co/2PphsCWssC"
1433179981903978500,"#CovidHoax #VaccineSideEffects #Vaccine #Fauci #FauciDogTorturer #WakeUpRetards""Survival of the (mentally) fittest"", and ""Darwin's Law"" combo platter. https://t.co/LW1AgnRmK5"
